"No.","Time","Delta","Source","Destination","Protocol","Length","Src Port","Dst Port","Info"
"13029","443.585987","0.030807","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13030","443.621944","0.035957","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13031","443.654159","0.032215","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13032","443.685447","0.031288","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13033","443.717091","0.031644","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13034","443.749001","0.031910","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13035","443.780149","0.031148","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13036","443.810626","0.030477","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13037","443.844813","0.034187","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13038","443.877437","0.032624","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13039","443.910369","0.032932","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13040","443.940571","0.030202","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13041","443.972103","0.031532","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13042","444.009927","0.037824","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13043","444.041467","0.031540","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13044","444.071269","0.029802","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13045","444.100426","0.029157","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13046","444.133325","0.032899","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13047","444.169919","0.036594","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13048","444.201851","0.031932","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13049","444.242095","0.040244","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13050","444.280747","0.038652","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13051","444.315077","0.034330","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13052","444.347751","0.032674","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13053","444.378953","0.031202","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13054","444.411862","0.032909","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13055","444.440217","0.028355","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13056","444.469471","0.029254","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13057","444.504065","0.034594","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13058","444.535802","0.031737","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13059","444.566064","0.030262","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
