"No.","Time","Delta TIme","Source","Destination","Protocol","Length","S. Port","D. Port","Info"
"58","1.138683","0.022311","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"59","1.159657","0.020974","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"60","1.181909","0.022252","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"61","1.204094","0.022185","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"62","1.225628","0.021534","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"63","1.245411","0.019783","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"64","1.265373","0.019962","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"65","1.275984","0.010611","172.32.249.105","236.10.10.10","PSN","124","64421","56565","64421  >  56565 Len=82"
"66","1.286819","0.010835","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"67","1.308062","0.021243","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"68","1.327972","0.019910","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"69","1.348188","0.020216","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"70","1.368209","0.020021","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"71","1.386242","0.018033","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"72","1.405841","0.019599","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"73","1.426772","0.020931","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"74","1.448679","0.021907","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"75","1.470530","0.021851","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"76","1.491972","0.021442","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"77","1.514103","0.022131","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"78","1.535364","0.021261","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"79","1.557603","0.022239","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"80","1.580243","0.022640","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"81","1.603031","0.022788","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"82","1.625245","0.022214","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"83","1.647846","0.022601","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"84","1.669917","0.022071","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"85","1.691726","0.021809","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"86","1.714039","0.022313","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"87","1.736124","0.022085","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"88","1.758260","0.022136","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"89","1.780221","0.021961","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"90","1.802452","0.022231","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"91","1.822823","0.020371","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"92","1.842621","0.019798","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"93","1.862835","0.020214","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"94","1.882989","0.020154","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"95","1.903053","0.020064","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"96","1.924121","0.021068","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"97","1.944987","0.020866","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"98","1.966419","0.021432","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"99","1.988824","0.022405","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"100","2.010777","0.021953","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"101","2.033250","0.022473","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"102","2.055349","0.022099","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"103","2.077153","0.021804","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"104","2.099793","0.022640","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"105","2.122248","0.022455","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"106","2.143716","0.021468","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"107","2.164190","0.020474","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"108","2.186568","0.022378","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"109","2.209260","0.022692","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"110","2.231501","0.022241","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"111","2.253972","0.022471","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"112","2.274668","0.020696","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"113","2.295782","0.021114","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"114","2.315430","0.019648","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"115","2.335260","0.019830","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"116","2.354885","0.019625","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"117","2.374208","0.019323","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"118","2.394003","0.019795","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"119","2.413228","0.019225","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"120","2.433662","0.020434","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"121","2.455353","0.021691","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"122","2.476534","0.021181","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"123","2.496136","0.019602","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"124","2.517335","0.021199","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"125","2.540065","0.022730","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"126","2.561802","0.021737","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"127","2.583839","0.022037","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"128","2.606216","0.022377","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"129","2.606308","0.000092","172.32.249.105","236.10.10.10","PSN","124","64421","56565","64421  >  56565 Len=82"
"130","2.628651","0.022343","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"131","2.650416","0.021765","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"132","2.672419","0.022003","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"133","2.692975","0.020556","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"134","2.715112","0.022137","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"135","2.736465","0.021353","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"136","2.757972","0.021507","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"137","2.779566","0.021594","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"138","2.800507","0.020941","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"139","2.820070","0.019563","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"140","2.839847","0.019777","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"141","2.860358","0.020511","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"142","2.881368","0.021010","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"143","2.902034","0.020666","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"144","2.923289","0.021255","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"145","2.945305","0.022016","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"146","2.966028","0.020723","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"147","2.987199","0.021171","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"148","3.009180","0.021981","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"149","3.030380","0.021200","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"150","3.051963","0.021583","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"151","3.073322","0.021359","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"152","3.095981","0.022659","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"153","3.117801","0.021820","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"154","3.140131","0.022330","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"155","3.161120","0.020989","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"156","3.183118","0.021998","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"157","3.204776","0.021658","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"158","3.226603","0.021827","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"159","3.249192","0.022589","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"160","3.271761","0.022569","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"161","3.293902","0.022141","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"162","3.314309","0.020407","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"163","3.333789","0.019480","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"164","3.353954","0.020165","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"165","3.374237","0.020283","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
